State Name,Division Name,SchemeId,Scheme Name,Estimated cost (in lakhs) as per work order,Sanction Year,SLSSC/ DWSSM meeting date (dd/mm/yyyy),Work order date (dd/mm/yyyy),Physical completion date,Tentative completion date,Derived estimated cost  (in lakhs),Total_inadmissible_cost  (in lakhs),Derived estimated cost after removing inadmisible cost loaded on JJM  (in lakhs),Total expenditure (in lakhs),Total central expenditure (in lakhs),Total expenditure (in lakhs) on or after 2019-20,Total central expenditure (in lakhs) on or after 2019-20,Status Of Completion,Category,Village Scheme Type,FHTCS planned,FHTCS provided,Source of Scheme,Un-verified status,Main Schemes Funded From,Type of scheme,In-village infrastructure cost (in lakhs) (After financial authentication),Central share cost (in lakhs) (After financial authentication),Community contribution (in lakhs) (After financial authentication),Physical completion progress (In percentage),Physical Work Status,Last FHTC reported Month,Last FHTC reported Year,Last Expenditure reported Month,Last Expenditure reported Year,Updated On
madhya pradesh,e.e. phed division khurai,8063614.0,lakhankheda,21.48,2020-2021,22-07-2020,01-09-2020,not provided,31-03-2022,21.48,0.0,21.48,11.30401,4.09754,11.30401,4.09754,ongoing,new pws scheme,svs,25.0,0.0,ground water based,not specified,jjm-pws,pws schemes,21.48,9.666,2.148,26.0,ongoing but physically not completed,not provided,not specified,not provided,2021.0,23-04-2025
madhya pradesh,e.e. phed division mauganj,30250416.0,dhausad(primary school),1.1682,2021-2022,22-08-2021,01-12-2021,not provided,31-08-2024,1.1682,0.0,1.1682,0.0,0.0,0.0,0.0,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.584,0.0,0.0,ongoing but physically not completed,not provided,not specified,not provided,not specified,23-04-2025
madhya pradesh,e.e. phed division mandla,8192880.0,sagar pwss,40.63,2020-2021,18-06-2020,04-12-2020,29-01-2024,31-03-2026,40.63,0.0,40.63,39.70538,17.93047,39.70538,17.93047,ongoing,retrofit/ augmentation,svs,270.0,187.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,0.0,20.315,0.0,100.0,physically completed,not provided,2022.0,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division rewa,30013359.0,sahpur pwss (retrofit ),164.41,2020-2021,22-07-2020,18-11-2021,not provided,31-12-2025,164.41,0.0,164.41,134.57454,67.28728,134.57454,67.28728,ongoing,retrofit/ augmentation,svs,696.0,129.0,ground water based,not specified,state and others,state & other completed and subsumed for retrofit & augmentation,164.41,73.984,16.441,80.0,ongoing but physically not completed,not provided,2022.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division balaghat,8374139.0,limoti pipartola retro pwss,41.4,2020-2021,07-10-2020,23-08-2021,31-03-2022,31-03-2025,41.4,0.0,41.4,41.4,18.99465,41.4,18.99465,ongoing,retrofit/ augmentation,svs,44.0,87.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,41.4,18.63,4.14,100.0,physically completed,not provided,2022.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division sheopur,8065907.0,bechai retrofitting scheme,18.52,2020-2021,18-09-2020,19-10-2020,21-05-2024,22-05-2024,18.52,0.0,18.52,18.52,9.26,18.52,9.26,financially completed,retrofit/ augmentation,svs,158.0,102.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,0.0,9.26,0.0,100.0,physically completed,not provided,2021.0,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division satna,8165595.0,bathiya kalan,124.48,2020-2021,30-07-2020,12-01-2021,21-06-2023,30-06-2024,124.48,0.0,124.48,122.49182,56.016,122.49182,56.016,ongoing,retrofit/ augmentation,svs,653.0,319.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,124.48,56.016,12.448,100.0,physically completed,not provided,2022.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division satna,8373177.0,559 (school block maihar),39.0,2021-2022,01-02-2021,06-07-2021,not provided,31-03-2023,39.0,0.0,39.0,8.452,4.226,8.452,4.226,ongoing,new pws scheme,mvs,16.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,19.5,0.0,0.0,ongoing but physically not completed,not provided,not specified,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division mandla,8320030.0,atriya pwss,19.77,2020-2021,18-06-2020,26-02-2021,not provided,31-03-2026,19.77,0.0,19.77,19.17,9.0,19.17,9.0,ongoing,retrofit/ augmentation,svs,245.0,123.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,19.77,9.39,0.989,95.0,ongoing but physically not completed,not provided,2022.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division sheopur,8279523.0,simroniya  anganwadi a,0.91,2020-2021,22-02-2021,18-03-2021,31-07-2021,30-06-2021,0.91,0.0,0.91,0.9,0.45,0.9,0.45,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.455,0.0,49.0,physically completed,not provided,not specified,not provided,2021.0,23-04-2025
madhya pradesh,e.e. phed division neemuch,8352373.0,ps ankli,1.4,2021-2022,09-03-2021,01-04-2021,31-10-2021,31-03-2022,1.4,0.0,1.4,1.29,0.645,1.29,0.645,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.7,0.0,100.0,physically completed,not provided,not specified,not provided,2021.0,23-04-2025
madhya pradesh,e.e. phed division balaghat,30018217.0,khairlanji ret pwss,35.06,2020-2021,07-10-2020,08-09-2021,not provided,30-04-2025,35.06,0.0,35.06,35.06,15.76747,35.06,15.76747,ongoing,retrofit/ augmentation,svs,131.0,120.0,ground water based,not specified,state and others,state & other completed and subsumed for retrofit & augmentation,35.06,15.777,3.506,0.0,ongoing but physically not completed,not provided,2024.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division shahdol,30052523.0,kunda tola,146.8,2021-2022,01-06-2021,18-07-2022,not provided,31-08-2025,146.8,0.0,146.8,80.51123,22.2358,80.51123,22.2358,ongoing,new pws scheme,svs,414.0,134.0,ground water based,not specified,jjm-pws,pws schemes,146.8,66.06,14.68,60.0,ongoing but physically not completed,not provided,2025.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division balaghat,8240651.0,"sivanheti (school, ang)",2.62,2020-2021,19-01-2021,22-02-2021,30-07-2024,31-07-2024,3.92,0.0,3.92,3.92,1.96,3.92,1.96,financially completed,new pws scheme,svs,3.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,1.31,0.0,100.0,physically completed,not provided,not specified,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division dewas,30252334.0,khindrakhedi pwss,26.1,2021-2022,30-12-2021,29-12-2022,not provided,31-03-2025,26.1,0.0,26.1,25.30831,11.63962,25.30831,11.63962,ongoing,new pws scheme,svs,60.0,39.0,ground water based,not specified,jjm-pws,pws schemes,26.1,11.745,2.61,30.0,ongoing but physically not completed,not provided,2025.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division dewas,30236095.0,siralibid pwss 2022,29.39,2022-2023,05-09-2022,21-08-2023,not provided,31-03-2025,29.39,0.0,29.39,28.76479,11.65598,28.76479,11.65598,ongoing,new pws scheme,svs,98.0,34.0,ground water based,not specified,jjm-pws,pws schemes,29.39,13.226,2.939,5.0,ongoing but physically not completed,not provided,2024.0,not provided,2024.0,23-04-2025
