State Name,Division Name,SchemeId,Scheme Name,Estimated cost (in lakhs) as per work order,Sanction Year,SLSSC/ DWSSM meeting date (dd/mm/yyyy),Work order date (dd/mm/yyyy),Physical completion date,Tentative completion date,Derived estimated cost  (in lakhs),Total_inadmissible_cost  (in lakhs),Derived estimated cost after removing inadmisible cost loaded on JJM  (in lakhs),Total expenditure (in lakhs),Total central expenditure (in lakhs),Total expenditure (in lakhs) on or after 2019-20,Total central expenditure (in lakhs) on or after 2019-20,Work not awarded/ Ongoing/ Financially completed,New scheme/ Retrofit/ Augmentation,SVS/ MVS/ Bulk Water Schemes,FHTCS planned,FHTCS provided,Ground/ Surface water/ Bulk Water Based/ Other,Un-verified status,NRDWP/ State and Others/ JJM-PWS/ JJM-Non-PWS,Type of scheme,In-village infrastructure cost (in lakhs) (After financial authentication),Central share cost (in lakhs) (After financial authentication),Community contribution (in lakhs) (After financial authentication),Physical completion progress (In percentage),Physically completed/ Ongoing but physically not completed/ Work order not issued,Last FHTC reported Month,Last FHTC reported Year,Last Expenditure reported Month,Last Expenditure reported Year,Updated On
Madhya Pradesh,E.E. PHED Division MANDLA,8320030,ATRIYA PWSS,19.77,2020-2021,18-06-2020,26-02-2021,,31-03-2026,19.77,0,19.77,19.17,9,19.17,9,Ongoing,retrofit/ Augmentation,SVS,245,123,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,19.77,9.39,0.989,95,Ongoing but physically not completed,January,2022,March,2025,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Sheopur,8279523,SIMRONIYA  ANGANWADI A,0.91,2020-2021,22-02-2021,18-03-2021,31-07-2021,30-06-2021,0.91,0,0.91,0.9,0.45,0.9,0.45,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,0.455,0,49,Physically completed,,,July,2021,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Neemuch,8352373,PS Ankli,1.4,2021-2022,09-03-2021,01-04-2021,31-10-2021,31-03-2022,1.4,0,1.4,1.29,0.645,1.29,0.645,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,0.7,0,100,Physically completed,,,October,2021,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division BALAGHAT,30018217,KHAIRLANJI RET PWSS,35.06,2020-2021,07-10-2020,08-09-2021,,30-04-2025,35.06,0,35.06,35.06,15.76747,35.06,15.76747,Ongoing,retrofit/ Augmentation,SVS,131,120,Ground water based,,State and Others,State & Other completed and subsumed for Retrofit & Augmentation,35.06,15.777,3.506,0,Ongoing but physically not completed,July,2024,October,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division SHAHDOL,30052523,KUNDA TOLA,146.8,2021-2022,01-06-2021,18-07-2022,,31-08-2025,146.8,0,146.8,80.51123,22.2358,80.51123,22.2358,Ongoing,New PWS scheme,SVS,414,134,Ground water based,,JJM-PWS,PWS Schemes,146.8,66.06,14.68,60,Ongoing but physically not completed,April,2025,February,2025,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division BALAGHAT,8240651,"Sivanheti (School, Ang)",2.62,2020-2021,19-01-2021,22-02-2021,30-07-2024,31-07-2024,3.92,0,3.92,3.92,1.96,3.92,1.96,Financially completed,New PWS scheme,SVS,3,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,1.31,0,100,Physically completed,,,October,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Dewas,30252334,KHINDRAKHEDI PWSS,26.1,2021-2022,30-12-2021,29-12-2022,,31-03-2025,26.1,0,26.1,25.30831,11.63962,25.30831,11.63962,Ongoing,New PWS scheme,SVS,60,39,Ground water based,,JJM-PWS,PWS Schemes,26.1,11.745,2.61,30,Ongoing but physically not completed,March,2025,September,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Dewas,30236095,SIRALIBID PWSS 2022,29.39,2022-2023,05-09-2022,21-08-2023,,31-03-2025,29.39,0,29.39,28.76479,11.65598,28.76479,11.65598,Ongoing,New PWS scheme,SVS,98,34,Ground water based,,JJM-PWS,PWS Schemes,29.39,13.226,2.939,5,Ongoing but physically not completed,June,2024,November,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
